Open,Close,High,Low,Stochastic_Oscillator,Wiki_5day_Disparity,Wiki_3day_Disparity,Google_MA_6,RSI_Move,Wiki_Move,Wiki_MA3_Move,Wiki_EMA5_Move,Wiki_RSI_Move,Wiki_5day_Disparity_Move,Google_EMA5_Move,Google_Move,Google_3day_Disparity_Move,Google_RSI_Move,Google_ROC_Move,Target
89.57204351,89.436432,90.31790924,89.04896584,82.22930643,0.975294651,0.982719245,3355,1,0,0,0,0,0,1,1,1,1,1,1
90.20167689,91.112213,91.112213,89.6785992,100,0.884068538,0.928674007,3355,1,0,0,0,0,0,1,1,1,1,1,1
92.15836789,90.976601,92.45865074,90.78287179,81.36418602,1.085936422,1.097566646,3388.333333,0,1,1,1,1,1,1,1,1,1,1,0
90.37604281,89.833588,90.72476162,89.21364518,66.99153908,0.981976528,0.986971446,3386.666667,0,0,0,0,0,0,0,0,0,0,0,1
90.81194058,92.032455,92.41023267,90.57946395,94.64086508,1.031845362,0.997460792,3296.666667,1,1,1,1,1,1,0,0,0,0,0,1
91.81933513,91.305946,93.05921967,90.64725682,77.54343564,1.182919282,1.145139434,3160,0,1,1,1,1,1,0,0,1,0,0,0
90.70537976,88.903671,91.0250397,88.63244699,46.77422712,1.012510106,0.980361189,3133.333333,0,0,1,1,0,0,1,1,1,1,1,0
87.72190323,85.242134,90.31791368,85.242134,0,0.863253888,0.837990021,3133.333333,0,0,0,0,0,0,1,1,0,1,1,0
84.16692472,88.467781,88.61308107,82.57832218,56.19231391,0.958098237,1.006432346,3088.333333,1,1,0,0,1,1,1,0,0,0,1,1
87.65410754,86.801689,88.8939923,86.40453423,40.29585082,0.978199135,1.051338238,3046.666667,0,1,0,1,1,1,0,0,0,0,1,0
86.89855038,82.345848,87.06322076,82.10368283,2.210436406,0.927878141,0.932555426,3151.666667,0,0,1,0,0,0,1,1,1,1,1,0
83.59541004,85.416489,86.14298443,81.20281746,35.53920882,0.930418749,0.93468194,3243.333333,1,0,0,0,0,1,0,0,0,0,0,1
85.95893137,86.336708,86.96633927,85.1743183,43.30057676,0.968988504,1.016296546,3246.666667,1,1,0,0,1,1,1,1,1,1,1,1
86.14298158,87.014778,87.17944835,85.04839808,49.01959664,1.000147044,1.026408451,3220,1,1,1,0,1,1,1,1,1,1,1,0
86.13889297,88.377274,88.55245195,86.04157383,60.51124458,1.030313606,1.014150172,3150,1,1,1,1,1,1,0,0,0,0,0,1
88.76656631,90.177727,90.23611674,88.19237577,75.6967365,1.026078781,1.006471968,3155,1,1,1,1,0,0,0,1,1,1,0,1
89.97333494,89.535393,90.99520919,89.34075376,70.2791234,1.070228495,1.050082424,3135,0,1,1,1,1,1,1,1,1,1,1,0
89.02933544,90.236115,90.56700378,88.57192535,76.18919618,0.978577918,0.96692653,3140,1,0,0,0,0,0,0,0,0,0,0,1
90.4891521,89.039063,90.8589703,89.039063,66.09294625,0.955401769,0.95210728,3393.333333,0,0,0,0,0,0,1,1,1,1,1,0
89.58407151,89.272644,90.24585496,88.912554,82.15886733,0.979214892,1.004369332,3635,1,1,0,0,1,1,1,0,0,1,1,1
91.09253799,91.540215,91.54994906,89.8857594,99.90592508,0.94202544,0.971820323,3950,1,0,0,0,0,0,1,0,0,1,0,1
91.87110583,92.863777,92.89297235,91.72512226,99.75025693,1.012326579,1.016876932,4226.666667,1,1,1,1,1,1,1,0,1,1,0,1
93.17519858,91.676453,93.27251771,91.676453,86.77626884,0.989889845,0.996960486,4443.333333,0,0,0,0,0,0,1,0,0,0,1,0
92.29930757,91.257973,93.14600388,91.12172349,83.3090742,1.501627661,1.381983806,4833.333333,0,1,1,1,1,1,1,1,1,1,0,0
91.47207726,90.362617,92.03654145,89.37967219,75.8908618,0.965295185,0.879908076,4835,0,0,1,0,0,0,0,0,0,0,0,0
89.12664518,90.557266,90.6545861,88.42593245,66.98428727,0.826589345,0.758237396,4781.666667,1,0,0,0,0,0,0,0,0,0,0,1
89.86628499,91.131462,91.74458288,89.78843396,73.96614095,0.863910721,0.97317789,4810,1,1,0,0,1,1,1,1,1,1,1,1
91.81270919,90.820038,91.95869277,90.45021982,66.08354656,0.898741247,1.047483936,4918.333333,0,1,0,0,1,1,1,1,1,1,1,0
90.66432831,91.345573,91.42343084,89.95388049,62.06907733,1.0148263,1.017406088,4946.666667,1,1,1,0,0,1,0,0,0,0,0,1
91.74458235,91.900299,92.55234831,91.25797693,71.68689628,0.928704496,0.917509534,4891.666667,1,0,0,0,0,0,1,1,1,1,1,1
92.73728218,93.953796,93.953796,92.45505001,100,0.936518391,0.958185745,4941.666667,1,1,0,0,0,1,1,1,1,0,1,1
93.91484101,94.177605,94.60581969,93.46716502,93.07083324,1.046809151,1.083052167,5031.666667,1,1,0,1,1,1,0,0,0,0,0,1
94.40144809,91.880836,94.63501674,91.45262033,55.64272268,1.029649052,1.024928894,4965,0,0,1,1,0,0,0,0,0,0,0,0
92.57182067,91.335838,92.85405279,90.99521614,46.86529313,1.065643863,1.017368337,4785,0,1,1,1,1,1,0,0,1,0,1,0
91.02440997,91.656998,92.04628429,90.3431653,52.03771445,0.992525123,0.975589976,4818.333333,1,0,0,0,0,0,1,1,1,1,1,1
92.14360882,92.06575,92.82485354,91.40396658,58.62084299,0.87873945,0.897246303,4710,1,0,0,0,0,0,0,0,0,0,0,0
91.22878628,90.401558,91.38450391,89.64245546,31.81830784,0.996059213,1.031119247,4548.333333,0,1,0,1,1,1,0,0,0,0,0,0
90.55727297,90.635124,91.25797895,90.50860951,35.57998974,1.010514019,1.043352854,4435,1,1,0,1,0,1,0,1,1,1,1,0
90.44048999,90.002548,91.53048913,89.73977716,25.39207845,1.062636971,1.03456831,4481.666667,0,1,1,1,1,1,1,1,1,1,1,0
88.82495319,87.384605,89.29209733,87.25809051,1.715002828,0.99286411,0.965632021,4483.333333,0,0,0,0,0,0,0,0,0,0,0,0
87.10237733,84.844528,88.03665884,84.74720885,0.984233783,0.963581184,0.964719784,4411.666667,0,0,0,0,0,0,1,1,1,1,1,1
88.1826462,91.267723,91.48183038,87.97827287,65.94499227,1.020967418,1.037822642,4275,1,1,0,1,1,1,0,0,0,0,0,1
92.39665413,87.073189,92.59129341,86.13890741,23.52371904,1.090386317,1.081491713,4400,0,1,1,1,1,1,1,1,1,1,1,0
87.41380467,86.995323,88.78603498,86.48925722,22.73622396,0.955191038,0.930345835,4438.333333,0,0,1,0,0,0,1,0,0,0,0,1
87.7641541,88.824951,89.81762996,86.03184074,41.24010289,0.9350741,0.930057659,4273.333333,1,0,0,0,0,0,0,0,0,0,0,1
